Date,Open,High,Low,Close,Volume,Amount,MA10,SMA10,EMA10,WMA10,RSI10,VWAP10
1/19/10,2424.469,2450.281,2424.161,2432.713,2782907600,37544640666.0,2464.6185000000005,2438.954954732499,2466.464063636364,2445.673490909091,57.35696080654931,2468.8999043647077
1/20/10,2436.647,2439.468,2356.161,2359.485,3474848500,45720566126.0,2453.4907000000003,2436.235592258822,2447.0133247933886,2439.8724909090915,21.14056099571218,2462.052875298017
1/21/10,2362.597,2391.508,2346.148,2377.753,2919614700,37804392708.0,2438.0378,2411.790806969801,2434.420538467318,2422.7805454545455,13.320916789573205,2456.259143778344
1/22/10,2344.973,2398.989,2317.481,2380.055,4063927200,49042084127.0,2429.4373,2401.6474566712955,2424.535895109623,2411.819672727273,36.35668055122699,2448.815045025258
1/25/10,2355.357,2389.627,2350.009,2353.471,2074988000,26430130648.0,2420.8263,2395.526909622267,2411.6150050896913,2402.8410727272726,47.375317328792086,2445.4204192269035
1/26/10,2354.905,2363.411,2296.875,2311.447,2470038300,30347743465.0,2408.2924000000003,2383.735783640889,2393.402640527929,2390.5946545454544,53.7013212028568,2439.8714711363946
1/27/10,2313.007,2319.993,2260.564,2264.605,2228021200,27288373309.0,2388.6332,2358.9872015920373,2369.9848877046693,2372.9864,6.007584468097963,2433.6146060002084
1/28/10,2263.061,2267.853,2235.603,2252.61,1902345600,23754286041.0,2375.1295,2331.3258781178383,2348.643999031093,2350.4358181818184,42.232167837216586,2427.6809049894946
1/29/10,2241.117,2276.767,2231.649,2243.994,1862603600,23861735672.0,2358.1134,2307.8533692178835,2329.616726479985,2328.159545454546,19.993948764821,2422.197448226876
2/1/10,2238.617,2238.898,2182.952,2208.936,2208243700,28608214630.0,2339.7321,2288.508588085205,2307.6747762108967,2307.410563636364,8.800862891163556,2414.684057518692
2/2/10,2223.598,2261.633,2210.696,2214.033,1964011600,25970058516.0,2318.5069000000003,2264.962364384116,2290.648998718006,2283.6294545454543,25.273672447140566,2409.0018233622777
2/3/10,2226.797,2278.475,2190.428,2277.798,2483645000,32146915297.0,2296.6389,2247.6150453155037,2288.31245349655,2264.6342,3.3907321387558844,2403.043591553038
2/4/10,2258.084,2276.47,2247.64,2261.358,1718266700,21637703163.0,2288.4702,2257.1859575057265,2283.4116437699045,2261.2085818181818,57.10370754227687,2399.498871348126
2/5/10,2212.308,2233.315,2204.929,2219.6,1845618200,22714229934.0,2276.8307,2258.502596056328,2271.809526720831,2256.279090909091,38.78480136161154,2394.7676055344414
2/8/10,2220.842,2233.135,2201.802,2211.135,1200679600,15532833677.0,2260.7852,2246.0808850374874,2260.7777945897706,2245.873509090909,19.100105217090167,2391.7548899852036
2/9/10,2210.328,2234.53,2207.848,2229.038,1054168300,13316002985.0,2246.5516,2234.4100455398443,2255.0069228461757,2236.8462,15.41812577194267,2389.3147410808742
2/10/10,2246.77,2260.479,2239.177,2259.99,1208484800,16865860503.0,2238.3106999999995,2231.4752613165256,2255.9129368741437,2233.661909090909,19.273717952910403,2387.0850179084873
2/11/10,2261.823,2275.759,2254.975,2265.138,1253547900,15327711044.0,2237.8491999999997,2239.690853860392,2257.5902210788445,2237.6036,43.182166686018334,2385.049836023355
2/12/10,2275.592,2286.676,2270.756,2284.386,1302626000,16653482712.0,2239.102,2247.0816170277353,2262.462180882691,2242.5652,47.74571858963634,2383.267205856067
2/22/10,2282.09,2291.783,2268.092,2269.045,1368835900,16865165200.0,2243.1411999999996,2257.282630191471,2263.659057085838,2250.7986545454546,35.1421246765555,2381.3826306847773
2/23/10,2261.993,2261.993,2202.214,2227.952,1527639500,25286082271.0,2249.1521000000002,2260.955318768445,2257.166864888413,2255.508436363636,67.14682327028085,2378.4772099225515
2/24/10,2211.393,2252.645,2204.675,2251.7,1681535200,21257295094.0,2250.544,2252.85552656316,2256.1728894541557,2251.6538727272728,77.4704313541788,2375.5227838258807
2/25/10,2254.801,2286.92,2251.963,2282.64,2418677900,32214891643.0,2247.9342000000006,2252.044479284856,2260.985091371582,2251.8640545454546,33.785976015708464,2372.570986759405
2/26/10,2278.432,2288.597,2270.769,2274.325,1527405900,19400436299.0,2250.0624000000003,2260.043575354625,2263.410529304021,2258.1742,30.702600189358385,2370.8666286012867
3/1/10,2282.338,2316.384,2281.699,2311.075,1931267500,25599322599.0,2255.5349,2264.0888874499587,2272.07679670329,2262.5855818181813,50.77724681688242,2369.357373931799
3/2/10,2312.492,2320.312,2293.917,2302.185,1521233800,20304283982.0,2265.5289000000002,2278.6904366532553,2277.5510154845097,2272.6837818181816,80.04454583772912,2368.2567082235482
3/3/10,2304.056,2312.419,2287.037,2311.841,1584584600,21138516899.0,2272.8436,2286.6131230479837,2283.7855581236895,2279.348527272727,80.82812617614485,2367.1197524902745
3/4/10,2312.299,2312.783,2259.176,2261.926,1962071600,24267036362.0,2278.0287000000003,2294.326904391774,2279.811093010291,2286.438963636364,70.22434616903477,2365.2150555269523
3/5/10,2264.678,2276.763,2258.962,2267.939,1334753700,16806363583.0,2277.7075,2285.1503414335175,2277.652530644784,2283.5112,61.34002906058355,2363.820875370721
3/8/10,2272.607,2290.091,2265.195,2284.682,1237555300,15481047925.0,2276.0627999999997,2279.553593723971,2278.930615982096,2281.735109090909,33.00821316199996,2362.722056491105
3/9/10,2284.024,2315.36,2266.818,2302.393,1875209400,23070609647.0,2277.6265,2279.9313400660635,2283.1965039853512,2283.3022363636364,26.56240658918788,2361.400429216533
3/10/10,2301.705,2318.312,2286.185,2292.503,1626450300,21251366719.0,2285.0706,2287.34066026757,2284.8885941698327,2287.8052363636366,78.72990282416251,2360.363934715132
3/11/10,2296.931,2316.382,2282.887,2300.043,1831078200,25256997726.0,2289.1509,2289.763340607705,2287.6439406844083,2289.1565818181816,77.65413087712913,2359.2516306634197
